ID,MaximumProbability,Wavelet.LHH_firstorder_Median,90Percentile, Wavelet.LLL_firstorder_Median
2,0.195,-2.7337,101.3513,62.6817
2,0.3683,-0.5822,133.4085,83.1403
2,0.5042,-3.3486,121.9968,89.4379
2,0.4363,-8.2822,118.4815,85.1394
2,0.2742,-0.3125,196.6002,135.5232
2,0.418,-7.2513,119.9869,83.9831
2,0.2773,-4.7301,159.891,107.7178
2,0.5735,-5.0145,117.5877,91.7343
2,0.432,-5.837,150.0904,110.1637
2,0.4343,-0.9425,127.9383,96.3862
2,0.4002,-3.6108,132.4047,92.7551
2,0.4921,-6.3428,114.8342,82.837
2,0.3618,-1.3024,83.8409,61.7091
2,0.4696,0.2407,85.1919,60.9545
2,0.2341,-13.2274,105.9568,54.5487
2,0.455,-6.4021,130.3925,98.5624
2,0.3202,-9.3486,114.5785,74.3234
2,0.6463,-3.2964,126.7083,102.9421
2,0.3795,-2.5393,107.714,73.6458
2,0.3005,-4.8558,105.0792,70.7788
2,0.4614,-2.9477,144.8097,114.5284
2,0.3441,-3.8921,107.5199,78.0521
2,0.2919,-4.4746,151.702,103.8316
2,0.4828,-2.1118,127.8103,96.219
2,0.3183,-11.4228,98.4103,67.4037
2,0.4109,-0.504,109.2087,83.2182
2,0.2476,-3.873,104.3515,67.8715
2,0.6084,-2.5452,128.0959,104.3809
2,0.4512,-5.3319,116.1097,88.2581
2,0.4683,-2.3565,109.9687,83.7684
2,0.5166,-4.5468,131.8691,101.3808
2,0.4282,-2.6928,111.5377,80.9811
2,0.3326,-5.7765,139.8396,97.4862
2,0.4073,-1.5722,119.6948,85.0803
2,0.1734,-28.1262,69.8203,-11.2123
2,0.4693,-3.2864,134.9611,99.8225
2,0.4107,-8.5141,100.7337,47.5587
2,0.56,-15.0982,125.6733,93.6266
2,0.5042,-5.7509,146.228,117.0265
2,0.2484,-0.6989,133.1758,87.3479
2,0.2461,-4.9728,167.2845,121.7415
2,0.5044,-2.7101,126.3654,93.0904
2,0.4442,-2.4914,135.4094,96.7007
2,0.4728,-3.9072,155.5053,124.5819
2,0.3469,-1.4329,101.9441,74.7181
2,0.3348,-5.7658,153.2376,118.427
2,0.5254,-15.7673,134.3459,91.0166
2,0.4684,-3.3794,126.556,94.7367
2,0.3187,-0.2787,94.8794,64.4236
2,0.4262,-3.433,123.6402,84.4327
2,0.4846,-3.5231,151.2453,121.156
2,0.4865,-1.8288,107.0899,83.6928
2,0.3283,0.0967,103.796,65.6857
2,0.7085,-3.1569,122.4678,96.9483
2,0.5826,-2.1061,113.0419,86.0405
2,0.2724,-1.2839,111.6425,69.3205
2,0.2832,-1.7223,106.7685,70.0479
2,0.3758,-6.5604,112.3826,76.8579
2,0.387,-10.6199,110.4463,74.9867
2,0.4746,-1.968,104.9555,80.8266
2,0.5525,-2.0288,118.6438,91.8053
2,0.3382,-5.2772,94.3647,55.8821
2,0.6518,-5.5852,132.3976,102.3494
2,0.3178,-3.1239,109.0931,74.5949
2,0.5018,-1.8793,129.8924,97.1248
2,0.5047,-2.5843,144.2489,113.2861
2,0.3677,-2.4628,119.477,82.0888
2,0.3567,-0.7759,122.9922,86.6918
2,0.5042,-1.9525,112.1698,84.855
2,0.4409,-0.4186,128.2025,89.9933
2,0.5292,-8.4826,136.5972,104.3121
2,0.2792,-2.0853,111.3471,70.8489
2,0.3811,-1.2391,110.3643,78.5694
2,0.1425,0.0876,235.1511,140.4735
2,0.4647,-0.1933,123.2323,88.4634
2,0.2708,-1.9894,98.72,69.4511
2,0.3354,-5.6597,196.0917,18.8931
2,0.5786,-9.1233,135.0165,103.7767
2,0.3768,-0.7318,135.0088,90.6225
2,0.5618,-5.4252,113.1818,85.7859
2,0.3257,-3.9081,109.6888,78.9922
2,0.3588,-3.0429,91.2241,61.8256
2,0.3281,-3.835,101.9396,70.5301
2,0.3186,-1.5451,104.1173,71.3743
2,0.3193,-1.7052,147.9625,108.6398
1,0.6545,0.9031,50.3414,23.9288
1,0.6124,-1.931,55.4972,25.3573
1,0.5667,-0.8157,79.8897,35.767
1,0.6381,-2.9577,53.3972,27.8054
1,0.4245,-1.5055,55.1,22.803
1,0.5846,-0.5369,76.7475,43.8385
1,0.5325,-0.7324,37.5186,12.4302
1,0.4533,-1.0639,132.9947,93.6556
1,0.4351,-2.1943,81.5514,47.1961
1,0.3854,-0.1609,62.238,20.2754
1,0.3554,-1.4224,90.773,56.6488
1,0.6492,-1.673,55.1642,32.3838
1,0.3573,-0.4649,92.7124,50.062
1,0.5886,-8.0473,57.0442,21.0414
1,0.3569,-2.4625,30.8316,5.4319
1,0.4911,64.4618,234.6208,177.7509
1,0.4242,0.4169,86.8704,62.4057
1,0.5447,0.4563,49.2674,20.2533
1,0.5524,2.4197,41.1175,15.5872
1,0.4475,-1.4623,49.585,18.6249
1,0.6644,-0.2003,50.0147,23.8942
1,0.6018,-1.5109,52.6507,26.0394
1,0.6423,-0.713,60.396,35.0033
1,0.6154,-0.2755,42.9098,19.2236
1,0.5713,-3.9593,50.2214,22.1133
1,0.6012,-1.627,42.579,20.8987
1,0.3049,-0.057,55.741,9.1147
1,0.5216,-2.4116,68.2526,34.8073
1,0.4566,-0.7068,83.6376,52.7933
1,0.5904,-1.465,46.2773,21.8217
1,0.5532,-9.5775,50.7257,19.0481
1,0.5648,-1.3769,34.491,15.1543
1,0.5531,-5.2904,72.3502,42.0444
1,0.6843,0.6552,53.5115,30.1524
1,0.6796,-0.2205,48.7704,26.8107
1,0.5444,-0.7655,52.5948,27.1985
1,0.345,-6.497,52.0772,13.0011
1,0.4671,1.6571,57.7844,18.6802
1,0.5834,0.4304,53.9118,21.2162
1,0.2163,-2.2964,47.8117,6.1323
1,0.3239,-18.6476,108.8677,36.956
1,0.4066,-15.5703,98.1247,56.2665
1,0.7464,-0.9099,53.4051,34.5995
1,0.5905,-5.4519,57.634,29.3663
1,0.5071,1.141,48.4515,20.2136
1,0.5875,-3.3647,57.1919,31.3579
1,0.3312,0.5735,84.4046,46.3503
1,0.6294,-0.0822,50.716,26.1969
1,0.5157,-1.3595,41.5147,17.1546
1,0.4321,-1.3776,47.7333,19.3702
1,0.3671,-0.395,46.5056,15.3617
1,0.3548,-2.2528,37.2419,3.209
1,0.4425,0.0252,48.1396,14.1221
1,0.625,-1.5023,54.6848,27.5321
1,0.6291,-4.036,56.5353,29.1978
1,0.4535,-1.8464,46.8682,19.0985
1,0.7548,-0.7172,53.649,30.7906
1,0.5572,-0.403,48.4393,23.6978
1,0.7039,-3.2012,52.0609,30.3826
1,0.7459,3.7087,56.6819,30.214
1,0.6005,-0.2762,65.5119,36.2939
1,0.715,-1.1851,53.2756,27.6051
1,0.2994,-3.0599,100.8861,71.7222
1,0.3299,-2.4146,31.6002,5.4072
1,0.5629,-1.6728,38.3056,14.9824
1,0.3881,1.0183,40.2338,8.4034
1,0.5567,-1.0336,76.1714,56.6011
1,0.4317,-1.6559,32.2949,10.4951
1,0.6097,0.1541,49.3239,23.6328
1,0.5783,0.0348,45.6495,22.7755
1,0.4629,-1.3694,39.8429,10.7424
1,0.4113,-1.0398,48.8236,14.112
1,0.519,1.3152,64.7568,31.1707
1,0.6009,-5.8678,41.6445,18.9555
1,0.6066,-0.4522,68.2133,44.8337
1,0.6452,-0.2079,47.1461,14.8287
2,0.1497,0.9576,345.8028,261.0501
2,0.3712,0.0235,102.2583,66.4377
2,0.5613,-2.0376,131.7908,100.4108
2,0.0823,-5.1967,358.4636,244.0471
2,0.3189,-3.2582,116.4226,78.7855
2,0.4086,7.2775,96.7899,68.1111
2,0.1583,-3.5618,71.461,-10.9106
2,0.5027,-2.793,110.1699,85.0033
2,0.4046,-10.604,133.7228,89.8573
2,0.4224,-2.2311,150.8491,109.9021
2,0.2679,2.8644,118.7549,67.3739
2,0.3904,-3.7711,129.6744,89.8404
2,0.4414,2.1494,128.6782,89.5385
2,0.283,-0.2026,129.3769,80.4684
2,0.5454,-3.1409,135.3782,101.8253
2,0.4128,-3.3978,155.7906,119.4401
2,0.6883,-1.0203,40.08,20.1195
2,0.4778,-15.7304,84.6503,48.4643
2,0.6249,-5.6045,85.1241,47.4731
2,0.2674,-6.6234,102.4509,65.2629
2,0.2436,-0.1216,105.9045,66.2965
2,0.2951,-12.4547,98.6349,64.424
2,0.5008,-7.5372,83.4815,62.41
2,0.4696,1.952,86.4843,62.9863
2,0.6113,-9.3519,65.3997,12.0924
2,0.289,-7.1937,120.0432,74.5154
2,0.4046,-5.4113,94.803,56.4025
2,0.4159,1.5984,91.1384,57.4931
2,0.2526,2.7431,115.2299,65.9194
2,0.3844,1.8904,119.1685,80.1639
1,0.4447,-5.105,47.4514,14.7087
1,0.4851,-16.6033,83.2968,59.1914
1,0.1271,2.2061,319.8989,176.335
1,0.4735,-4.6592,54.4988,22.5025
1,0.3846,-0.0261,59.4814,21.2635
1,0.296,-20.1645,92.3374,3.0399
1,0.5739,-2.0189,45.8034,21.1621
1,0.6199,-2.184,54.9551,24.3684
1,0.8,0.2627,63.8284,33.7724
1,0.4689,1.3833,85.6021,65.1495
1,0.8539,-0.0295,48.0834,27.2511
1,0.8825,-2.0924,59.0241,34.2822
1,0.7091,-1.208,47.5964,25.6861
1,0.6185,-7.1607,37.8841,15.3134
1,0.5741,0.7309,110.6821,53.3324
